Name,3P,3PA,3P%,League 3P,League 3PA,League 3P%,Start Year,End Year,Image URL
Stephen Curry,3.8,8.9,0.428,1.04,2.93,0.357,2009,2023,steph.png
Ray Allen,2.3,5.7,0.400,0.65,1.82,0.355,1996,2014,ray-allen.png
James Harden,2.7,7.6,0.361,1.04,2.93,0.357,2009,2023,james-harden.png
Reggie Miller,1.8,4.7,0.395,0.46,1.32,0.343,1987,2005,reggie-miller.png
Kyle Korver,2.0,4.6,0.429,0.85,2.38,0.357,2003,2020,kyle-korver.png
Vince Carter,1.5,4.0,0.371,0.78,2.19,0.355,1998,2020,vince-carter.png
Jason Terry,1.6,4.3,0.380,0.74,2.08,0.356,1999,2018,jason-terry.png
Jamal Crawford,1.7,4.8,0.348,0.81,2.26,0.356,2000,2020,jamal-crawford.png
Damian Lillard,3.0,8.1,0.372,1.13,3.17,0.357,2012,2023,damian-lillard.png
Lebron James,1.6,4.6,0.345,0.93,2.60,0.357,2003,2023,lebron-james.png
Paul Pierce,1.6,4.3,0.368,0.70,1.98,0.355,1998,2017,paul-pierce.png
Kyle Lowry,1.9,5.3,0.368,0.99,2.76,0.358,2006,2023,kyle-lowry.png
Jason Kidd,1.4,4.1,0.349,0.63,1.78,0.355,1994,2013,jason-kidd.png
Dirk Nowitzki,1.3,3.4,0.380,0.75,2.12,0.355,1998,2019,dirk-nowitzki.png
Klay Thompson,3.0,7.2,0.416,1.10,3.08,0.357,2011,2023,klay-thompson.png